date,open,high,low,close,volume_eth,volume_usd
2020-11-05,730,740.72998,728.5,729.820007,370200,370200
2020-11-06,732.880005,737.200012,725.659973,736.099976,426500,426500
2020-11-09,745.5,758,690.669983,690.76001,1001500,1001500
2020-11-10,692.570007,724.099976,692.570007,722.409973,792800,792800
2020-11-11,726.309998,730.440002,720.539978,727.47998,386500,386500
2020-11-12,724.73999,728.340027,712.429993,717.309998,562900,562900
2020-11-13,723.140015,728.549988,720.210022,726.280029,326400,326400
2020-11-16,728.119995,734.320007,722.47998,731.700012,507400,507400
2020-11-17,725,734.469971,719.349976,731.080017,492200,492200
2020-11-18,733.390015,738.210022,723.599976,723.609985,487600,487600
2020-11-19,723.609985,735.429993,715.969971,728.72998,521200,521200
2020-11-20,730,732.679993,723.630005,724.22998,322900,322900
2020-11-23,727.409973,736.559998,726.429993,734.130005,348900,348900
2020-11-24,739.48999,746.369995,733.280029,735.289978,547900,547900
2020-11-25,738.780029,741.97998,727.719971,731.25,335100,335100
2020-11-27,731.97998,741.5,730.390015,735.809998,139400,139400
2020-11-30,733.890015,748.609985,732.530029,747.630005,881000,881000
2020-12-01,750,755,739.919983,743.26001,581100,581100
2020-12-02,743.48999,746.330017,713.97998,715.650024,591200,591200
2020-12-03,715.659973,719.880005,706.73999,708.049988,454300,454300
2020-12-04,712.580017,714,703.109985,705.909973,695700,695700
2020-12-07,707.539978,713.219971,706.51001,710.080017,637300,637300
2020-12-08,711.429993,721.190002,710.799988,719.26001,439200,439200
2020-12-09,721.849976,728.849976,713.140015,720.640015,563800,563800
2020-12-10,716.530029,724.919983,712.809998,719.820007,461100,461100
2020-12-11,718.559998,722.549988,713.330017,718.609985,362300,362300
2020-12-14,724.049988,730,718.789978,718.849976,515100,515100
2020-12-15,723.849976,726.309998,717.210022,722.340027,319200,319200
2020-12-16,726.77002,728.960022,719.799988,722.48999,383200,383200
2020-12-17,727.090027,729.309998,723.570007,726.25,505300,505300
2020-12-18,726.75,729.450012,718.599976,728.22998,887600,887600
2020-12-21,719.919983,729.679993,711.530029,729.169983,350400,350400
2020-12-22,730,739.98999,725.969971,737.070007,334900,334900
2020-12-23,737.52002,740.599976,724.440002,724.450012,266900,266900
2020-12-24,727.289978,735.210022,726.130005,733.900024,108700,108700
2020-12-28,738.099976,738.099976,728.840027,729.340027,171100,171100
2020-12-29,733.97998,734.580017,726,730.590027,195600,195600
2020-12-30,732.039978,735.900024,726.900024,727.130005,214000,214000
2020-12-31,728.440002,735.840027,723.72998,734.909973,306800,306800
2021-01-04,734.98999,736.919983,714.679993,723.469971,408300,408300
2021-01-05,720.48999,728.080017,717.690002,719.859985,390600,390600
2021-01-06,715,726.01001,713.549988,722.349976,549600,549600
2021-01-07,724.710022,740.02002,723.98999,735.130005,502400,502400
2021-01-08,733.51001,734.47998,721.190002,728.77002,401200,401200
2021-01-11,725.710022,738.609985,719.119995,734.940002,260600,260600
2021-01-12,734.039978,740.849976,729.609985,739.159973,308900,308900
2021-01-13,741.25,741.25,726.849976,728.140015,402600,402600
2021-01-14,726.409973,728.109985,716.48999,718.780029,408100,408100
2021-01-15,717.900024,728.570007,712.090027,725.549988,708800,708800
2021-01-19,729.48999,737.630005,725.429993,725.609985,451100,451100
2021-01-20,727.609985,737,723.099976,736.219971,423900,423900
2021-01-21,737,747.969971,733.859985,736.349976,303200,303200
2021-01-22,732.710022,737.469971,727.919983,732.169983,308300,308300
2021-01-25,735.070007,741.369995,731.780029,734.280029,400200,400200
2021-01-26,737.320007,737.320007,721.059998,723.640015,437800,437800
2021-01-27,718.340027,722.73999,705.530029,717.539978,560700,560700
2021-01-28,714.859985,723.390015,691.76001,712.049988,667600,667600
2021-01-29,705.929993,705.929993,685.849976,691.799988,782600,782600
2021-02-01,694.619995,699.669983,681.590027,698.099976,475500,475500
2021-02-02,699.619995,715.090027,699.619995,710.539978,407700,407700
2021-02-03,720.409973,727.450012,700.690002,701.340027,589800,589800
2021-02-04,703.359985,722.530029,702.960022,710.320007,590500,590500
2021-02-05,713.609985,726.070007,712.950012,716.580017,649100,649100
2021-02-08,722.960022,729.419983,721.369995,724.01001,474900,474900
2021-02-09,724.150024,725.23999,712.72998,713.01001,406800,406800
2021-02-10,715.590027,717.570007,708,712.320007,513800,513800
2021-02-11,714.289978,721.5,713.01001,719.289978,401000,401000
2021-02-12,717.309998,727.299988,717.27002,721.049988,436200,436200
2021-02-16,722,722.390015,706.840027,707.419983,520900,520900
2021-02-17,703,723.849976,698.940002,721.400024,573200,573200
2021-02-18,718.340027,730.599976,715.039978,726.76001,481400,481400
2021-02-19,729.150024,729.419983,713.059998,716.909973,495400,495400
2021-02-22,713.570007,715,701.72998,708.630005,471400,471400
2021-02-23,705.650024,705.650024,691.049988,696.590027,772800,772800
2021-02-24,697.109985,698.039978,680.190002,682.030029,914000,914000
2021-02-25,678.619995,684.280029,670.549988,673.169983,673700,673700
2021-02-26,675.690002,690.830017,675.549988,680.340027,818700,818700
2021-03-01,685,703.690002,685,693.840027,620800,620800
2021-03-02,691.210022,696.77002,684.400024,689.679993,494200,494200
2021-03-03,690.919983,693.929993,672.830017,673.210022,542300,542300
2021-03-04,671.119995,676.140015,654.190002,659.559998,700300,700300
2021-03-05,663.48999,676.900024,657.219971,675.690002,695700,695700
2021-03-08,678.299988,702.708496,677.01001,688.109985,648163,648163
